"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
2606,1,9338512,"Saarbrücken Hbf","",0,,,,
2606,2,9338511,"Saarbrücken Hbf","",0,,,,
2606,3,9338510,"Saarbrücken Hbf","",0,,,,
2606,1,9338507,"Saarbrücken Hbf","",0,,,,
2606,1,9338506,"Saarbrücken Hbf","",0,,,,
2606,3,9338505,"Saarbrücken Hbf","",0,,,,
2606,1,9338504,"Saarbrücken Hbf","",0,,,,
2606,3,9338503,"Saarbrücken Hbf","",0,,,,
2606,1,9338502,"Saarbrücken Hbf","",0,,,,
2606,2,9338501,"Saarbrücken Hbf","",0,,,,
2606,3,9338500,"Saarbrücken Hbf","",0,,,,
2606,2,9338508,"Saarbrücken Hbf","",0,,,,
2606,2,9338509,"Saarbrücken Hbf","",0,,,,
2606,1,9338499,"Saarbrücken Hbf","",0,,,,
2606,3,9338498,"Saarbrücken Hbf","",0,,,,
2606,1,9338497,"Luxembourg, Gare routière","",1,,,,
2606,2,9338496,"Luxembourg, Gare routière","",1,,,,
2606,3,9338495,"Luxembourg, Gare routière","",1,,,,
2606,1,9338494,"Luxembourg, Gare routière","",1,,,,
2606,1,9338493,"Luxembourg, Gare routière","",1,,,,
2606,3,9338492,"Luxembourg, Gare routière","",1,,,,
2606,1,9338491,"Luxembourg, Gare routière","",1,,,,
2606,3,9338490,"Luxembourg, Gare routière","",1,,,,
2606,1,9338483,"Luxembourg, Gare routière","",1,,,,
2606,2,9338489,"Luxembourg, Gare routière","",1,,,,
2606,2,9338488,"Luxembourg, Gare routière","",1,,,,
2606,3,9338487,"Luxembourg, Gare routière","",1,,,,
2606,1,9338486,"Luxembourg, Gare routière","",1,,,,
2606,2,9338485,"Luxembourg, Gare routière","",1,,,,
2606,3,9338484,"Luxembourg, Gare routière","",1,,,,
2497,4,9341754,"Athus, Gare","",0,,,,
2497,4,9341753,"Athus, Gare","",0,,,,
2497,4,9341752,"Athus, Gare","",0,,,,
2497,4,9341751,"Athus, Gare","",0,,,,
2497,4,9341750,"Athus, Gare","",0,,,,
2497,4,9341749,"Athus, Gare","",0,,,,
2497,4,9341748,"Athus, Gare","",0,,,,
2497,4,9341747,"Athus, Gare","",0,,,,
2497,4,9341746,"Athus, Gare","",0,,,,
2497,4,9341745,"Athus, Gare","",0,,,,
2497,4,9341744,"Athus, Gare","",0,,,,
2497,4,9341743,"Athus, Gare","",0,,,,
2497,4,9341742,"Athus, Gare","",0,,,,
2497,4,9341741,"Athus, Gare","",0,,,,
2497,4,9341740,"Athus, Gare","",0,,,,
2497,4,9341739,"Athus, Gare","",0,,,,
2497,4,9341738,"Athus, Gare","",0,,,,
2497,4,9341737,"Athus, Gare","",0,,,,
2497,4,9341736,"Athus, Gare","",0,,,,
2497,5,9365339,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365375,"Bettange, Bei der Barriär","",0,,,,
2497,5,9365332,"Bettange, Bei der Barriär","",0,,,,
2497,5,9365338,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365374,"Bettange, Bei der Barriär","",0,,,,
2497,5,9365331,"Bettange, Bei der Barriär","",0,,,,
2497,5,9365337,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365373,"Bettange, Bei der Barriär","",0,,,,
2497,5,9365336,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365372,"Bettange, Bei der Barriär","",0,,,,
2497,5,9365335,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365371,"Bettange, Bei der Barriär","",0,,,,
2497,5,9365334,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365370,"Bettange, Bei der Barriär","",0,,,,
2497,5,9365333,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365369,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365368,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365367,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365366,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365365,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365364,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365363,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365362,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365361,"Bettange, Bei der Barriär","",0,,,,
2497,6,9365360,"Bettange, Bei der Barriär","",0,,,,
